unix,open,high,low,close,Volume BTC,tradecount
1.64475E+12,42563.89,42563.99,42547.52,42551.41,4.94704,363
1.64475E+12,42522.44,42544.4,42520.16,42540.38,6.75639,387
1.64475E+12,42462.1,42618,42462.09,42584,137.21525,3246
1.64475E+12,42296.03,42297.8,42289.1,42292.13,4.32634,307
1.64474E+12,42340.17,42345.45,42327.92,42329.33,4.0956,317
1.64474E+12,42355.77,42387.4,42354.06,42385.09,10.88077,504
1.64474E+12,42472.72,42478.38,42443.99,42466.97,19.59249,556
1.64474E+12,42390.01,42393.13,42376.96,42381.26,6.91805,329
1.64474E+12,42353.92,42365.25,42353.92,42358,3.8689,234
1.64474E+12,42399,42400,42394.72,42395.33,2.88189,272
1.64473E+12,42285.42,42332.34,42281.44,42332.33,28.51596,457
1.64473E+12,42287.52,42287.52,42261.26,42264.5,4.4033,283
1.64473E+12,42274.03,42276.37,42258.74,42265.42,4.53302,186
1.64473E+12,42200.1,42222,42200.1,42221.99,2.69277,218
1.64473E+12,42295.01,42295.37,42270.19,42280.61,1.84436,217
1.64473E+12,42270.07,42289.82,42253.84,42287.5,5.57372,359
1.64472E+12,42202.25,42202.25,42173.12,42173.12,2.54839,172
1.64472E+12,42250.79,42250.8,42234.62,42248.74,7.63121,204
1.64472E+12,42123.29,42195.45,42120.82,42175.28,15.09953,471
1.64472E+12,42241.53,42275.11,42219.92,42219.92,5.39219,834
1.64472E+12,42354.84,42382.99,42354.84,42373.41,3.61947,228
1.64471E+12,42346.53,42369.39,42346.52,42369.39,5.04193,257
1.64471E+12,42247.96,42339.49,42247.96,42301.72,56.91152,867
1.64471E+12,42183.63,42197.1,42167.01,42174.15,5.92,266
1.64471E+12,42113.75,42141.29,42109.23,42139.35,13.70112,235
1.64471E+12,42107.08,42139.4,42105.39,42133.62,3.2898,224
1.64471E+12,42075.24,42100,42075.24,42100,14.69086,494
1.6447E+12,41944.65,41960.1,41921.41,41960.09,10.76011,614
1.6447E+12,42019.8,42099.8,41957.93,42000.01,88.01295,1934
1.6447E+12,42587.68,42588.75,42569.4,42569.4,5.65998,371
1.6447E+12,42735.94,42752.99,42720.97,42722.58,14.97649,570
1.6447E+12,42527.85,42548.78,42527.84,42534.32,12.09881,477
1.64469E+12,42696.78,42708.89,42671.58,42671.58,26.31288,618
1.64469E+12,42799.99,42835,42796.12,42835,10.38376,504
1.64469E+12,42849.64,42878.7,42848.24,42877.72,9.68494,400
1.64469E+12,42794.13,42808.3,42759.5,42808.3,15.69548,656
1.64469E+12,42580,42631.09,42576.49,42594.84,16.63595,638
1.64469E+12,42732.91,42746.89,42704.54,42726.28,27.32368,897
1.64468E+12,42388.6,42416.7,42387,42410.53,6.80566,374
1.64468E+12,42028.48,42094.34,42028.48,42094.33,11.49079,610
1.64468E+12,41985,41985,41950,41984.97,10.79357,441
1.64468E+12,42092.47,42136.03,42068.96,42088.46,15.05127,585
1.64468E+12,42068.97,42072.31,42020,42020.04,8.5644,504
1.64467E+12,42155.13,42180.49,42150.09,42150.1,14.60345,532
1.64467E+12,42288.99,42289,42257.95,42257.95,6.16628,369
1.64467E+12,42235.02,42249.29,42230.02,42234.41,5.4336,345
1.64467E+12,42267.17,42291.23,42251.22,42265.7,36.96042,517
1.64467E+12,42375.81,42381.58,42331.46,42364.5,18.78298,789
1.64467E+12,42259.01,42262,42215.88,42215.88,7.05122,465
1.64466E+12,42234.55,42234.56,42198.45,42211.57,8.2559,586
1.64466E+12,42210.34,42233.23,42196.28,42196.28,5.23381,422
1.64466E+12,42351.66,42352.75,42311.59,42318.74,25.28663,690
1.64466E+12,42349.41,42349.42,42318.04,42325.88,4.40448,268
1.64466E+12,42300.01,42303.57,42278.67,42284.33,6.80536,460
1.64465E+12,42325.11,42335.69,42310,42335.69,7.48183,438
1.64465E+12,42160.96,42182.52,42160.96,42177.97,14.03899,631
1.64465E+12,42037.27,42040.01,41974.66,41977.68,24.54716,988
1.64465E+12,42146.81,42146.82,42088.3,42090.45,23.1401,738
1.64465E+12,42090.29,42137.65,42087.2,42095.49,14.9188,733
1.64465E+12,42213.3,42233.53,42195.92,42232.44,5.1604,478
1.64464E+12,42271.34,42290,42271.34,42280.58,14.02814,524
1.64464E+12,42410.85,42410.86,42382.7,42384.81,5.38494,438
1.64464E+12,42414.3,42414.32,42393.84,42407.12,8.75679,361
1.64464E+12,42329.21,42336.24,42313.91,42336.24,6.3173,431
1.64464E+12,42262.62,42272.01,42228.25,42231.04,32.861,620
1.64464E+12,42430.08,42431.55,42414.17,42414.18,11.90274,326
1.64463E+12,42341.16,42368.23,42338.95,42368.23,9.82503,324
1.64463E+12,42422.77,42437.1,42409.98,42413.31,3.79703,409
1.64463E+12,42414.95,42428.56,42357,42363.55,21.47354,585
1.64463E+12,42325.64,42329.97,42300.82,42300.83,13.40073,457
1.64463E+12,42302.56,42312.57,42269.63,42276.48,20.98025,927
1.64462E+12,42366.73,42378.04,42323.49,42325.51,17.66468,731
1.64462E+12,42420.22,42424.99,42358.79,42398.26,13.78614,425
1.64462E+12,42170.98,42170.98,42127.46,42144.46,8.3092,427
1.64462E+12,42410.14,42411.24,42361.01,42382.15,6.80801,394
1.64462E+12,42570,42573.42,42483.16,42484.83,20.94324,532
1.64462E+12,42576.57,42576.57,42476.29,42485.72,39.72455,804
1.64461E+12,42472.27,42493.45,42436.7,42459.88,15.23111,688
1.64461E+12,42375.1,42394.08,42327.12,42350.67,38.28686,810
1.64461E+12,42555.5,42583.77,42527.56,42531.28,62.21312,1066
1.64461E+12,42997.41,43000,42887.92,42958.48,90.20043,1593
1.64461E+12,42358.22,42388.14,42109,42109.01,191.95915,5235
1.6446E+12,43207.56,43213.45,43137.88,43181.73,46.21717,889
1.6446E+12,43444.48,43478.35,43432.8,43458.41,7.60026,383
1.6446E+12,43572.43,43586.62,43532.72,43536.06,12.76751,556
1.6446E+12,43647.31,43647.32,43608.81,43608.81,13.22651,487
1.6446E+12,43496.06,43549.36,43477.99,43549.35,25.49156,762
1.6446E+12,43663.94,43663.94,43588.67,43596.92,27.02653,860
1.64459E+12,43633.12,43686.08,43611.56,43642.05,16.79184,807
1.64459E+12,43627.25,43736.37,43574.96,43736.37,38.34573,1029
1.64459E+12,43487.27,43520.27,43359.39,43362.28,119.47977,2600
1.64459E+12,43772.02,43784.62,43743.44,43747.48,24.90072,1069
1.64459E+12,43672.07,43693.78,43650,43677.11,25.49192,883
1.64458E+12,43562.92,43563,43540,43546.25,15.92388,512
1.64458E+12,43599.99,43600,43553.1,43554.17,20.37632,673
1.64458E+12,43265.26,43304.9,43264.01,43304.34,11.06977,538
1.64458E+12,43426.9,43474.13,43423.1,43456.35,11.90564,556
1.64458E+12,43377.99,43400.9,43377.99,43396.55,9.42736,403
1.64458E+12,43432.76,43464.78,43416.06,43446.41,89.87756,818
1.64457E+12,43435.01,43448.26,43431.16,43447.04,8.35065,429
1.64457E+12,43289.62,43333.7,43289.62,43333.69,16.37423,434
1.64457E+12,43158.8,43158.8,43070.26,43126.69,40.32789,804
1.64457E+12,43326.87,43347.51,43326.48,43330.52,11.72004,410
1.64457E+12,43431.18,43531.43,43421.51,43508.75,66.29311,1927
1.64456E+12,43204.01,43260,43204,43260,11.40887,492
1.64456E+12,43183.33,43215.67,43173.77,43214.99,7.53962,400
1.64456E+12,43119.99,43120,43095.53,43106.38,9.03442,404
1.64456E+12,42997.25,43050,42997.24,43043.99,13.26227,643
1.64456E+12,43031.56,43054.98,43028.8,43033.51,22.22422,581
1.64456E+12,43038.04,43058.42,43017.07,43017.07,10.33075,447
1.64455E+12,43165.11,43167.84,43149.9,43152.82,8.33048,292
1.64455E+12,43348.17,43370.79,43331,43331.05,11.37788,412
1.64455E+12,43183.46,43183.47,43150.51,43167.36,20.48063,633
1.64455E+12,43123.2,43144.74,43119.04,43135.49,26.23573,663
1.64455E+12,43084.88,43114.54,43053.91,43053.92,24.01449,603
1.64455E+12,43081.34,43081.35,43022.29,43026.16,31.8795,681
1.64454E+12,43344.32,43390.57,43313.82,43329.66,24.67624,748
1.64454E+12,43676.17,43719.7,43546.86,43550.11,130.44887,2376
1.64454E+12,42857.14,42900,42823.16,42833.69,93.86298,1316
1.64454E+12,43276.35,43375.99,43255.78,43363.91,80.54233,1423
1.64454E+12,43522.54,43561.89,43500,43517.37,97.17214,1727
1.64453E+12,43935.54,43999.83,43935.53,43975.5,10.15716,542
1.64453E+12,43917.59,43962.02,43909.15,43918.91,16.57191,800
1.64453E+12,43724.64,43773.5,43720.94,43764.39,24.93468,831
1.64453E+12,44126.84,44145.18,44096.07,44109.65,22.09834,626
1.64453E+12,44095.67,44097.39,44036.74,44044.69,19.63031,479
1.64453E+12,44014.58,44044.47,43932.65,43950.59,208.00187,3405
1.64452E+12,44368.3,44421.35,44360.26,44418.01,211.66358,1451
1.64452E+12,44634.12,44669.1,44604,44635.03,35.00381,791
1.64452E+12,45050,45064.99,44861.29,44896.52,102.16585,2335
1.64452E+12,44968.7,44973.8,44905.44,44930.84,33.14424,872
1.64452E+12,45292.68,45347.99,45255.45,45255.45,57.27639,1289
1.64451E+12,45419.56,45460.75,45392.47,45403.51,50.38922,1020
1.64451E+12,45370.92,45413.44,45367.44,45413.09,31.06423,1103
1.64451E+12,45292.34,45293.6,45094.2,45223.81,172.81746,3500
1.64451E+12,44989.04,45097,44926.17,45089.66,69.2799,1577
